en,es,vi,de,ar,ja,hi
fibromyalgia,fibromialgia,hội chứng đau cơ xơ hóa,Fibromyalgie,الألم العضلي الليفي,線維筋痛症,fibromyalgia
fifth disease,quinta enfermedad,bệnh thứ năm,fünfte Krankheit,المرض الخامس,第五の病気,पांचवा रोग
fillings,empastes,trám răng,Füllungen,الحشوات,詰め物,भराई
financial stress,estrés financiero,áp lực tài chính,finanzieller Stress,الضغوط المالية,経済的ストレス,वित्तीय तनाव
financial support during long-term illness,apoyo financiero durante una enfermedad prolongada,Hỗ trợ tài chính trong thời gian ốm đau dài hạn,finanzielle Unterstützung bei Langzeiterkrankung,الدعم المالي أثناء المرض طويل الأمد,長期療養中の経済的支援,दीर्घकालीन बीमारी के दौरान वित्तीय सहायता
finding the right health professional,encontrar al profesional de la salud adecuado,tìm kiếm chuyên gia y tế phù hợp,den richtigen Gesundheitsexperten finden,إيجاد أخصائي الرعاية الصحية المناسب,適切な医療専門家を見つける,सही स्वास्थ्य पेशेवर को ढूंढना
fire safety in your home,seguridad contra incendios en su hogar,an toàn phòng cháy chữa cháy trong nhà bạn,Brandschutz in Ihrem Zuhause,السلامة من الحرائق في منزلك,ご自宅での火災安全対策,आपके घर में अग्नि सुरक्षा
first aid advice,consejos de primeros auxilios,lời khuyên sơ cứu,Erste-Hilfe-Tipps,نصائح الإسعافات الأولية,応急処置に関するアドバイス,प्राथमिक उपचार संबंधी सलाह
first aid basics,conceptos básicos de primeros auxilios,những kiến ​​thức sơ cứu cơ bản,Grundlagen der Ersten Hilfe,أساسيات الإسعافات الأولية,応急処置の基礎知識,प्राथमिक चिकित्सा की मूल बातें
first aid kits,botiquines de primeros auxilios,bộ sơ cứu,Erste-Hilfe-Sets,حقائب الإسعافات الأولية,救急箱,प्राथमिक चिकित्सा किट
fitness,aptitud física,sự thích hợp,Fitness,لياقة بدنية,フィットネス,उपयुक्तता
fitness and exercise,aptitud física y ejercicio,thể dục và tập luyện,Fitness und Bewegung,اللياقة البدنية والتمارين الرياضية,フィットネスとエクササイズ,फिटनेस और व्यायाम
flat feet,pies planos,bàn chân phẳng,Plattfüße,القدم المسطحة,扁平足,सपाट पैर
flatulence,flatulencia,đầy hơi,Blähung,انتفاخ البطن,鼓腸,पेट फूलना
flexible cystoscopy,cistoscopia flexible,nội soi bàng quang mềm,flexible Zystoskopie,تنظير المثانة المرن,軟性膀胱鏡検査,लचीली सिस्टोस्कोपी
flexible sigmoidoscopy,sigmoidoscopia flexible,nội soi đại tràng sigma mềm,flexible Sigmoidoskopie,تنظير القولون السيني المرن,フレキシブルS状結腸鏡検査,लचीली सिग्मोइडोस्कोपी
floods and cyclone health risks,riesgos para la salud derivados de inundaciones y ciclones,rủi ro về sức khỏe do lũ lụt và lốc xoáy,Gesundheitsrisiken durch Überschwemmungen und Zyklone,مخاطر الفيضانات والأعاصير على الصحة,洪水とサイクロンによる健康リスク,बाढ़ और चक्रवात से होने वाले स्वास्थ्य जोखिम
floods and cyclones health and safety,Inundaciones y ciclones: salud y seguridad,"lũ lụt và lốc xoáy, sức khỏe và an toàn",Gesundheit und Sicherheit bei Überschwemmungen und Zyklonen,الصحة والسلامة في حالات الفيضانات والأعاصير,洪水とサイクロンにおける健康と安全,"बाढ़ और चक्रवात, स्वास्थ्य और सुरक्षा"
flu and colds,gripe y resfriados,cúm và cảm lạnh,Grippe und Erkältungen,الإنفلونزا ونزلات البرد,インフルエンザと風邪,फ्लू और सर्दी
flu and colds during pregnancy and breastfeeding,gripe y resfriados durante el embarazo y la lactancia,cảm cúm và cảm lạnh trong thời kỳ mang thai và cho con bú,Grippe und Erkältungen während Schwangerschaft und Stillzeit,الإنفلونزا ونزلات البرد أثناء الحمل والرضاعة الطبيعية,妊娠中および授乳中のインフルエンザと風邪,गर्भावस्था और स्तनपान के दौरान फ्लू और सर्दी-जुकाम
flu prevention tips,Consejos para prevenir la gripe,Mẹo phòng ngừa cúm,Tipps zur Grippeprävention,نصائح للوقاية من الإنفلونزا,インフルエンザ予防のヒント,फ्लू से बचाव के सुझाव
flu vaccine faqs,Preguntas frecuentes sobre la vacuna contra la gripe,Câu hỏi thường gặp về vắc-xin cúm,Grippeimpfung – Häufig gestellte Fragen,الأسئلة الشائعة حول لقاح الإنفلونزا,インフルエンザワクチンに関するよくある質問,फ्लू वैक्सीन से संबंधित अक्सर पूछे जाने वाले प्रश्न
fluid from the ear,líquido del oído,dịch từ tai,Flüssigkeit aus dem Ohr,سائل من الأذن,耳からの液体,कान से तरल पदार्थ
folate,folato,folate,Folsäure,حمض الفوليك,葉酸,फोलेट
folate test,prueba de folato,xét nghiệm folate,Folsäuretest,اختبار حمض الفوليك,葉酸検査,फोलेट परीक्षण
follicle stimulating hormone,hormona folículo estimulante,hormone kích thích nang trứng,Follikelstimulierendes Hormon,الهرمون المنبه للجريب,卵胞刺激ホルモン,कूप उत्तेजक हार्मोन
folliculitis,foliculitis,viêm nang lông,Follikulitis,التهاب الجريبات,毛包炎,लोम
food,alimento,đồ ăn,Essen,طعام,食べ物,खाना
food allergies,alergias alimentarias,dị ứng thực phẩm,Lebensmittelallergien,الحساسية الغذائية,食物アレルギー,खाद्य प्रत्युर्जता
food groups,grupos de alimentos,nhóm thực phẩm,Lebensmittelgruppen,المجموعات الغذائية,食品群,खाद्य समूह
food intolerance and testing,Intolerancia alimentaria y pruebas,không dung nạp thực phẩm và xét nghiệm,Nahrungsmittelunverträglichkeit und Tests,عدم تحمل الطعام والاختبارات,食物不耐性と検査,खाद्य असहिष्णुता और परीक्षण
food labels,etiquetas de alimentos,nhãn thực phẩm,Lebensmittelkennzeichnungen,ملصقات الطعام,食品ラベル,खाद्य लेबल
food poisoning,intoxicación alimentaria,ngộ độc thực phẩm,Lebensmittelvergiftung,التسمم الغذائي,食中毒,विषाक्त भोजन
food safety,seguridad alimentaria,an toàn thực phẩm,Lebensmittelsicherheit,سلامة الغذاء,食品安全,खाद्य सुरक्षा
food safety guide,guía de seguridad alimentaria,hướng dẫn an toàn thực phẩm,Leitfaden zur Lebensmittelsicherheit,دليل سلامة الغذاء,食品安全ガイド,खाद्य सुरक्षा मार्गदर्शिका
foods high in iodine,alimentos ricos en yodo,thực phẩm giàu iốt,jodreiche Lebensmittel,الأطعمة الغنية باليود,ヨウ素を多く含む食品,आयोडीन से भरपूर खाद्य पदार्थ
foods high in iron,alimentos ricos en hierro,thực phẩm giàu chất sắt,eisenreiche Lebensmittel,أطعمة غنية بالحديد,鉄分を多く含む食品,आयरन से भरपूर खाद्य पदार्थ
foods high in magnesium,alimentos ricos en magnesio,thực phẩm giàu magie,magnesiumreiche Lebensmittel,أطعمة غنية بالمغنيسيوم,マグネシウムを多く含む食品,मैग्नीशियम से भरपूर खाद्य पदार्थ
foods high in potassium,alimentos ricos en potasio,thực phẩm giàu kali,kaliumreiche Lebensmittel,أطعمة غنية بالبوتاسيوم,カリウムを多く含む食品,पोटेशियम से भरपूर खाद्य पदार्थ
foods high in zinc,alimentos ricos en zinc,thực phẩm giàu kẽm,zinkreiche Lebensmittel,أطعمة غنية بالزنك,亜鉛を多く含む食品,जस्ता से भरपूर खाद्य पदार्थ
foot care,cuidado de los pies,chăm sóc bàn chân,Fußpflege,العناية بالقدمين,フットケア,पांव की देखभाल
foot fracture,fractura de pie,gãy xương bàn chân,Fußfraktur,كسر في القدم,足の骨折,पैर में फ्रैक्चर
fractures,fracturas,gãy xương,Frakturen,الكسور,骨折,भंग
fragile x syndrome,síndrome del cromosoma X frágil,hội chứng nhiễm sắc thể X dễ vỡ,Fragiles-X-Syndrom,متلازمة إكس الهشة,脆弱X症候群,नाजुक एक्स सिंड्रोम
frequent urination,micción frecuente,đi tiểu thường xuyên,häufiges Wasserlassen,كثرة التبول,頻尿,जल्दी पेशाब आना
frontotemporal dementia,demencia frontotemporal,chứng mất trí nhớ thùy trán thái dương,frontotemporale Demenz,الخرف الجبهي الصدغي,前頭側頭型認知症,फ्रंटोटेम्पोरल मनोभ्रंश
frostbite,congelación,tê cóng,Erfrierung,قضمة الصقيع,凍傷,शीतदंश
frozen shoulder,hombro congelado,vai đông cứng,Schultersteife,الكتف المتجمد,五十肩,जमे हुए कंधे
full blood count,hemograma completo,xét nghiệm máu toàn phần,vollständiges Blutbild,تعداد الدم الكامل,全血球数,पूर्ण रक्त गणना
