en,es,vi,ar,de,hi,ja
drugs and alcohol - how to help someone,Drogas y alcohol: cómo ayudar a alguien,Ma túy và rượu - cách giúp đỡ một người,المخدرات والكحول - كيفية مساعدة شخص ما,Drogen und Alkohol – wie man jemandem helfen kann,नशीली दवाओं और शराब - किसी की मदद कैसे करें,薬物とアルコール – 困っている人を助ける方法
drugs in sport,dopaje en el deporte,thuốc kích thích trong thể thao,المنشطات في الرياضة,Doping im Sport,खेल में ड्रग्स,スポーツにおける薬物使用
dry eyes,ojos secos,mắt khô,جفاف العين,trockene Augen,सूखी आँखें,ドライアイ
dry mouth syndrome,síndrome de boca seca,hội chứng khô miệng,متلازمة جفاف الفم,Syndrom des trockenen Mundes,मुंह सूखने का सिंड्रोम,ドライマウス症候群
dry orgasm,orgasmo seco,cực khoái khô,النشوة الجافة,trockener Orgasmus,शुष्क संभोग,ドライオーガズム
dry socket,alveolitis seca,ổ răng khô,جفاف تجويف السنخ,Alveolitis sicca,शुष्क सॉकेट,ドライソケット
duchenne muscular dystrophy,distrofia muscular de Duchenne,loạn dưỡng cơ Duchenne,ضمور دوشين العضلي,Duchenne-Muskeldystrophie,ड्यूशेन मस्कुलर डिस्ट्रॉफी,デュシェンヌ型筋ジストロフィー
duodenal ulcer,úlcera duodenal,loét tá tràng,قرحة الاثني عشر,Zwölffingerdarmgeschwür,ग्रहणी फोड़ा,十二指腸潰瘍
dupuytren's contracture,contractura de Dupuytren,chứng co cứng Dupuytren,تقفع دوبويتران,Dupuytren-Kontraktur,डुप्यूट्रेंस कॉन्ट्रैक्चर,デュピュイトラン拘縮
dupuytren's fasciectomy,fasciectomía de Dupuytren,phẫu thuật cắt bỏ màng Dupuytren,استئصال اللفافة في داء دوبويتران,Dupuytren-Fasziektomie,डुप्यूट्रेंस फेशिएक्टॉमी,デュピュイトラン拘縮に対する筋膜切除術
dust mites,ácaros del polvo,mạt bụi,عث الغبار,Hausstaubmilben,धूल के कण,ダニ
dust storms,tormentas de polvo,bão bụi,عواصف ترابية,Staubstürme,धूल भरी आंधी,砂嵐
dwarfism,enanismo,bệnh lùn,التقزم,Kleinwuchs,बौनापन,小人症
dying,muriendo,chết,الموت,sterben,मरना,死にゆく
dying at home,morir en casa,qua đời tại nhà,الموت في المنزل,Sterben zu Hause,घर पर मृत्यु,自宅で最期を迎える
dysarthria,disartria,chứng khó nói,عسر التلفظ,Dysarthrie,डिसार्थ्रिया,構音障害
dyslexia,dislexia,chứng khó đọc,عسر القراءة,Dyslexie,डिस्लेक्सिया,失読症
dysmenorrhoea,dismenorrea,đau bụng kinh,عسر الطمث,Dysmenorrhoe,कष्टार्तव,月経困難症
dysphagia,"formal: disfagia | informal: problemas para tragar, dificultad para tragar","formal: khó nuốt | informal: nghẹn, vướng họng","formal: عسر البلع | informal: صعوبة في البلع, مشاكل في البلع","formal: Dysphagie | informal: Schluckbeschwerden, Schluckprobleme","formal: निगलने में कठिनाई | informal: निगलने में तकलीफ, गले में अटकना","formal: 嚥下障害 | informal: 飲み込みにくさ, 喉がつまること"
dyspnoea,disnea,khó thở,بحة في الصوت,Atemnot,दमा,呼吸困難
dyspraxia,dispraxia,rối loạn vận động,عسر الأداء الحركي,Dyspraxie,दुष्क्रिया,発達性協調運動障害
dystonia,distonía,loạn trương lực cơ,خلل التوتر العضلي,Dystonie,दुस्तानता,ジストニア
e-cigarettes,cigarrillos electrónicos,thuốc lá điện tử,السجائر الإلكترونية,E-Zigaretten,ई-सिगरेट,電子タバコ
e-health,salud electrónica,y tế điện tử,الصحة الإلكترونية,E-Health,ई-स्वास्थ्य,eヘルス
e. coli infection,infección por E. coli,nhiễm trùng E. coli,عدوى الإشريكية القولونية,E. coli-Infektion,ई. कोलाई संक्रमण,大腸菌感染症
ear diseases and disorders,enfermedades y trastornos del oído,các bệnh và rối loạn về tai,أمراض واضطرابات الأذن,Ohrerkrankungen und -störungen,कान के रोग और विकार,耳の病気と障害
ear thermometers,termómetros de oído,nhiệt kế đo tai,موازين حرارة الأذن,Ohrthermometer,कान थर्मामीटर,耳式体温計
ear wax,cera del oído,ráy tai,شمع الأذن,Ohrenschmalz,कान का मैल,耳垢
earache,dolor de oídos,đau tai,ألم,Ohrenschmerzen,कान में दर्द,耳痛
early onset dementia,demencia de inicio temprano,chứng mất trí nhớ khởi phát sớm,الخرف المبكر,früh einsetzende Demenz,प्रारंभिक अवस्था में मनोभ्रंश,若年性認知症
ears,orejas,tai,آذان,Ohren,कान,耳
eating disorders,trastornos de la alimentación,rối loạn ăn uống,اضطرابات الأكل,Essstörungen,भोजन विकार,摂食障害
eating disorders and body image,trastornos alimentarios e imagen corporal,rối loạn ăn uống và hình ảnh cơ thể,اضطرابات الأكل وصورة الجسم,Essstörungen und Körperbild,खान-पान संबंधी विकार और शरीर की छवि,摂食障害と身体イメージ
eating healthy,comer sano,ăn uống lành mạnh,تناول طعاماً صحياً,gesunde Ernährung,स्वस्थ खाना,健康的な食事
eating unsafe foods,comer alimentos no seguros,ăn thực phẩm không an toàn,تناول الأطعمة غير الآمنة,Verzehr unsicherer Lebensmittel,असुरक्षित खाद्य पदार्थों का सेवन,安全でない食品を食べる
eating well,comer bien,ăn uống tốt,تناول الطعام بشكل جيد,gesund essen,अच्छा खाना,健康的な食事を摂る
ebola virus,virus del ébola,virus Ebola,فيروس إيبولا,Ebola-Virus,इबोला वायरस,エボラウイルス
ecstasy,éxtasis,sự hưng phấn,نشوة,Ekstase,परमानंद,エクスタシー
ectopic pregnancy,embarazo ectópico,thai ngoài tử cung,الحمل خارج الرحم,Eileiterschwangerschaft,एक्टोपिक गर्भावस्था,子宮外妊娠
eczema,eczema,bệnh chàm,الأكزيما,Ekzem,एक्जिमा,湿疹
edwards syndrome,síndrome de Edwards,hội chứng Edwards,متلازمة إدواردز,Edwards-Syndrom,एडवर्ड्स सिंड्रोम,エドワーズ症候群
egg allergy,alergia al huevo,dị ứng trứng,حساسية البيض,Eierallergie,अंडे से एलर्जी,卵アレルギー
ehlers-danlos syndrome,síndrome de Ehlers-Danlos,hội chứng Ehlers-Danlos,متلازمة إهلرز دانلوس,Ehlers-Danlos-Syndrom,एहलर्स-डानलोस सिंड्रोम,エーラース・ダンロス症候群
elective caesarean section,cesárea electiva,mổ lấy thai theo yêu cầu,عملية قيصرية اختيارية,geplanter Kaiserschnitt,ऐच्छिक सीज़ेरियन सेक्शन,選択的帝王切開
elective splenectomy,esplenectomía electiva,cắt bỏ lách tự chọn,استئصال الطحال الاختياري,elektive Splenektomie,ऐच्छिक स्प्लेनेक्टोमी,選択的脾臓摘出術
electric shocks and burns,descargas eléctricas y quemaduras,điện giật và bỏng,الصدمات الكهربائية والحروق,Stromschläge und Verbrennungen,बिजली के झटके और जलन,感電と火傷
electrocardiogram,electrocardiograma,điện tâm đồ,تخطيط كهربية القلب,Elektrokardiogramm,इलेक्ट्रोकार्डियोग्राम,心電図
electroconvulsive therapy,terapia electroconvulsiva,liệu pháp sốc điện,العلاج بالصدمات الكهربائية,Elektrokrampftherapie,विद्युत - चिकित्सा,電気けいれん療法
electroencephalogram,electroencefalograma,điện não đồ,تخطيط كهربية الدماغ,Elektroenzephalogramm,इलेक्ट्रोएन्सेफेलोग्राम,脳波図
elephantiasis,elefantiasis,bệnh phù chân voi,داء الفيل,Elefantiasis,फ़ीलपाँव,象皮病
emergency contraception,anticoncepción de emergencia,biện pháp tránh thai khẩn cấp,وسائل منع الحمل الطارئة,Notfallverhütung,आपातकालीन गर्भनिरोधक,緊急避妊薬
emergency departments,departamentos de urgencias,khoa cấp cứu,أقسام الطوارئ,Notaufnahmen,आपातकालीन विभाग,救急外来
emotional abuse,abuso emocional,lạm dụng cảm xúc,الإساءة العاطفية,emotionaler Missbrauch,भावनात्मक दुर्व्यवहार,精神的虐待
emphysema,enfisema,khí phế thũng,انتفاخ الرئة,Emphysem,एम्फीसेमा,肺気腫
encephalitis,encefalitis,viêm não,التهاب الدماغ,Enzephalitis,इंसेफेलाइटिस,脳炎
encephalopathy,encefalopatía,bệnh não,اعتلال الدماغ,Enzephalopathie,मस्तिष्क विकृति,脳症
end of life health,salud al final de la vida,sức khỏe cuối đời,الرعاية الصحية في نهاية العمر,Gesundheit am Lebensende,जीवन के अंतिम चरण का स्वास्थ्य,終末期医療
endocarditis,endocarditis,viêm nội tâm mạc,التهاب الشغاف,Endokarditis,एंडोकार्डिटिस,心内膜炎
endocrine disorders and diseases,trastornos y enfermedades endocrinas,rối loạn và bệnh lý nội tiết,اضطرابات وأمراض الغدد الصماء,endokrine Störungen und Erkrankungen,अंतःस्रावी विकार और रोग,内分泌障害および疾患
